movie_name,Country,Release Date,IMDB Rating,Metascore,TomatoMeter,production_budget,domestic_box_office,international_box_office,rating,genre,Total Box Office,ROI
August: Osage County,USA,10 Jan 2014,5.3,32,76%,25000000,37738810,13000000,R,Black Comedy,50738810,202.96%
Space Dogs,Russia,26 Jul 2013,6.2,25,37%,25000000,0,9445081,G,Adventure,9445081,37.78%
Legion,USA,22 Jan 2010,7.4,59,28%,26000000,40168080,27479494,R,Thriller/Suspense,67647574,260.18%
Case 39,"USA, Canada",01 Oct 2010,7.6,66,40%,27000000,13261851,15511976,R,Horror,28773827,106.57%
Limitless,USA,18 Mar 2011,6.1,41,51%,27000000,79249455,76315464,PG-13,Thriller/Suspense,155564919,576.17%
Kick-Ass,"UK, USA, China",16 Apr 2010,6.8,43,11%,28000000,48071303,49459831,R,Black Comedy,97531134,348.33%
Larry Crowne,"USA, France",01 Jul 2011,6.1,51,71%,30000000,35608245,25840890,PG-13,Romantic Comedy,61449135,204.83%
Machine Gun Preacher,USA,02 Nov 2011,7.4,52,33%,30000000,538690,3183298,R,Drama,3721988,12.41%
The Next Three Days,"USA, France",19 Nov 2010,6.8,65,72%,30000000,21148651,46107265,PG-13,Thriller/Suspense,67255916,224.19%
Hoodwinked Too! Hood vs. Evil,USA,29 Apr 2011,6.6,N/A,47%,30000000,10143779,13209332,PG,Adventure,23353111,77.84%
Hanna,"USA, UK, Germany",08 Apr 2011,7.7,81,91%,30000000,40259119,25084575,PG-13,Drama,65343694,217.81%
Midnight in Paris,"Spain, USA, France",10 Jun 2011,6.2,45,30%,30000000,56816662,105686112,PG-13,Romantic Comedy,162502774,541.68%
Fright Night,USA,19 Aug 2011,7.2,74,92%,30000000,18298649,22222000,R,Horror,40520649,135.07%
Step Up 3D,USA,06 Aug 2010,6.5,50,54%,30000000,42400223,123488894,PG-13,Drama,165889117,552.96%
Winnie the Pooh,USA,15 Jul 2011,5.9,42,22%,30000000,26692846,23452761,G,Adventure,50145607,167.15%
Letters to Juliet,USA,14 May 2010,7.0,72,5%,30000000,53032453,29116085,PG,Drama,82148538,273.83%
Sanctum,"USA, Australia",04 Feb 2011,6.3,51,92%,30000000,23209310,81074443,R,Adventure,104283753,347.61%
The Cabin in the Woods,USA,13 Apr 2012,6.3,32,59%,30000000,42073277,28616691,R,Thriller/Suspense,70689968,235.63%
Going the Distance,USA,03 Sep 2010,4.4,22,12%,32000000,17804299,25799691,R,Romantic Comedy,43603990,136.26%
Repo Men,"USA, Canada",19 Mar 2010,7.5,74,94%,32000000,13942007,4253231,R,Action,18195238,56.86%
"Big Mommas: Like Father, Like Son",USA,18 Feb 2011,5.6,53,63%,32000000,37915414,44417036,PG-13,Comedy,82332450,257.29%
Source Code,"USA, Canada, France, Germany",01 Apr 2011,4.9,18,15%,32000000,54712227,85716272,PG-13,Thriller/Suspense,140428499,438.84%
Wanderlust,USA,24 Feb 2012,7.5,76,23/100,32500000,17288155,6871779,R,Comedy,24159934,74.34%
The Darkest Hour,"USA, Russia",25 Dec 2011,7.2,61,85%,34800000,21443494,41388221,PG-13,Action,62831715,180.55%
A Nightmare on Elm Street,USA,16 Nov 1984,5.9,36,5%,35000000,63075011,54654610,R,Horror,117729621,336.37%
Secretariat,USA,08 Oct 2010,3.8,23,75%,35000000,59699513,676734,PG,Drama,60376247,172.50%
Something Borrowed,USA,06 May 2011,6.8,85,66%,35000000,39046489,26037627,PG-13,Romantic Comedy,65084116,185.95%
Furry Vengeance,"UK, USA, United Arab Emirates, Germany",30 Apr 2010,5.1,25,95%,35000000,17630465,21709712,PG,Adventure,39340177,112.40%
The Tree of Life,USA,17 May 2011,6.1,52,69%,35000000,13305665,48416161,PG-13,Drama,61721826,176.35%
Abduction,USA,23 Sep 2011,7.5,58,55%,35000000,28087155,58561204,PG-13,Thriller/Suspense,86648359,247.57%
Nanny McPhee Returns,"UK, France, USA",20 Aug 2010,7.6,80,19%,35000000,29197642,68602223,PG,Adventure,97799865,279.43%
Biutiful,"Mexico, Spain",04 Feb 2011,6.9,57,21%,35000000,5101237,19586287,R,Drama,24687524,70.54%
True Grit,USA,22 Dec 2010,5.9,53,92%,35000000,171243005,81033923,PG-13,Western,252276928,720.79%
Horrible Bosses,USA,08 Jul 2011,5.6,31,29%,35000000,117538559,94879042,R,Comedy,212417601,606.91%
Gnomeo & Juliet,"UK, USA, Canada",11 Feb 2011,6.0,38,60%,36000000,99967670,93770307,G,Comedy,193737977,538.16%
Cop Out,USA,26 Feb 2010,7.5,74,96%,37000000,44875481,11034429,R,Comedy,55909910,151.11%
The Rite,"USA, Hungary, Italy",28 Jan 2011,6.5,39,55%,37000000,33047633,64096354,PG-13,Horror,97143987,262.55%
The Town,USA,17 Sep 2010,6.9,52,11%,37000000,92186262,60380619,R,Drama,152566881,412.34%
Life as We Know It,USA,08 Oct 2010,7.7,95,72%,38000000,53374681,52513156,PG-13,Romantic Comedy,105887837,278.65%
Water for Elephants,USA,22 Apr 2011,6.5,57,26%,38000000,58709717,58100000,PG-13,Drama,116809717,307.39%
The Social Network,USA,01 Oct 2010,5.4,28,83%,40000000,96962694,127959441,PG-13,Drama,224922135,562.31%
Morning Glory,USA,10 Nov 2010,6.4,65,55%,40000000,31011732,28783338,PG-13,Comedy,59795070,149.49%
Season of the Witch,USA,07 Jan 2011,5.7,36,70%,40000000,24827228,66299372,PG-13,Thriller/Suspense,91126600,227.82%
Get Him to the Greek,USA,04 Jun 2010,7.3,63,65%,40000000,61153526,30302349,R,Comedy,91455875,228.64%
Arthur,USA,08 Apr 2011,6.8,56,60%,40000000,33035397,14752546,PG-13,Comedy,47787943,119.47%
The Lincoln Lawyer,USA,18 Mar 2011,7.0,57,42%,40000000,58009200,29135886,R,Thriller/Suspense,87145086,217.86%
Unknown,"UK, Germany, France, USA",18 Feb 2011,6.4,51,10%,40000000,63686397,72436686,PG-13,Thriller/Suspense,136123083,340.31%
Paul,"USA, UK",18 Mar 2011,6.1,52,31%,40000000,37412945,63749161,R,Comedy,101162106,252.91%
Predators,USA,09 Jul 2010,6.2,53,53%,40000000,52000688,75233701,R,Action,127234389,318.09%
Scream 4,USA,15 Apr 2011,5.5,29,28%,40000000,38180928,57808662,R,Horror,95989590,239.97%
The Big Year,"USA, Canada",14 Oct 2011,6.3,45,12%,41000000,7204138,480386,PG,Comedy,7684524,18.74%
Red Riding Hood,"USA, Canada",11 Mar 2011,6.6,49,51%,42000000,37662162,54016280,PG-13,Thriller/Suspense,91678442,218.28%
The Warrior's Way,"New Zealand, South Korea",03 Dec 2010,6.4,37,84%,42000000,5666340,2847985,R,Western,8514325,20.27%
The Mechanic,USA,28 Jan 2011,5.6,22,12%,42500000,29121498,47225895,R,Action,76347393,179.64%
Charlie St. Cloud,"USA, Canada",30 Jul 2010,6.2,56,17%,44000000,31206263,17271821,PG-13,Drama,48478084,110.18%
The Bounty Hunter,USA,19 Mar 2010,7.2,77,71%,45000000,67061228,68747609,PG-13,Romantic Comedy,135808837,301.80%
The Rum Diary,"USA, UK",28 Oct 2011,4.7,33,33%,45000000,13109815,8434917,R,Drama,21544732,47.88%
The Ghost Writer,"France, Germany, UK",19 Mar 2010,5.0,36,6%,45000000,15541549,49990942,PG-13,Thriller/Suspense,65532491,145.63%
Jonah Hex,USA,18 Jun 2010,7.2,N/A,27%,47000000,10547117,475579,PG-13,Action,11022696,23.45%
Tooth Fairy,"USA, Canada",22 Jan 2010,6.1,36,47%,48000000,60022256,52588130,PG,Adventure,112610386,234.60%
Shanghai,India,08 Jun 2012,6.0,35,81%,50000000,46425,15459497,R,Drama,15505922,31.01%
Dream House,"USA, Canada",30 Sep 2011,5.4,44,28%,50000000,21302340,20339826,PG-13,Horror,41642166,83.28%
Your Highness,USA,08 Apr 2011,7.0,72,47%,50000000,21596445,4525193,R,Comedy,26121638,52.24%
Drive Angry,USA,25 Feb 2011,7.6,87,79%,50000000,10721033,30321550,R,Action,41042583,82.09%
Super 8,USA,10 Jun 2011,6.4,45,71%,50000000,127004179,130968566,PG-13,Thriller/Suspense,257972745,515.95%
Moneyball,USA,23 Sep 2011,6.4,56,37%,50000000,75605492,35695343,PG-13,Drama,111300835,222.60%
Upside Down,"Canada, France",01 May 2013,7.4,68,66%,50000000,102118,26284921,PG-13,Romantic Comedy,26387039,52.77%
Hereafter,USA,22 Oct 2010,7.0,60,47%,50000000,32746941,72500000,PG-13,Thriller/Suspense,105246941,210.49%
The Adjustment Bureau,USA,04 Mar 2011,6.3,56,22%,50200000,62495645,64435680,PG-13,Thriller/Suspense,126931325,252.85%
Burlesque,USA,24 Nov 2010,6.0,53,72%,55000000,39440655,51112020,PG-13,Drama,90552675,164.64%
Date Night,USA,09 Apr 2010,4.3,34,36%,55000000,98711404,53557629,PG-13,Comedy,152269033,276.85%
Mr. Popper's Penguins,USA,17 Jun 2011,5.8,37,15%,55000000,68224452,121400000,PG,Adventure,189624452,344.77%
Ghost Rider: Spirit of Vengeance,"USA, United Arab Emirates",17 Feb 2012,7.0,60,55%,57000000,51774002,97443353,PG-13,Action,149217355,261.78%
Resident Evil: Afterlife,"Germany, France, Canada, UK, China, USA",10 Sep 2010,5.8,50,24%,57500000,60128566,235745624,R,Horror,295874190,514.56%
Eat Pray Love,USA,13 Aug 2010,6.6,55,40%,60000000,80574010,126024779,PG-13,Drama,206598789,344.33%
Priest,USA,13 May 2011,5.4,41,33%,60000000,29136626,55017400,PG-13,Horror,84154026,140.26%
Edge of Darkness,"UK, USA",29 Jan 2010,5.4,31,48%,60000000,43313890,39498566,R,Drama,82812456,138.02%
Hop,USA,01 Apr 2011,6.5,51,42%,63000000,108085305,80572288,PG,Adventure,188657593,299.46%
Red Dawn,USA,21 Nov 2012,5.8,45,81%,65000000,44806783,3357367,PG-13,Action,48164150,74.10%
Due Date,USA,05 Nov 2010,5.0,58,55%,65000000,100539043,111200000,R,Comedy,211739043,325.75%
Hall Pass,USA,25 Feb 2011,5.9,56,36%,68000000,45060734,42112741,R,Comedy,87173475,128.20%
The Twilight Saga: Eclipse,USA,30 Jun 2010,7.6,72,24%,68000000,300531751,405571077,PG-13,Drama,706102828,1038.39%
Dinner for Schmucks,USA,30 Jul 2010,6.2,59,11%,69000000,73026337,13770165,PG-13,Comedy,86796502,125.79%
Despicable Me,"USA, France",09 Jul 2010,5.7,37,19%,69000000,251513985,291950588,PG,Adventure,543464573,787.63%
Wall Street: Money Never Sleeps,USA,24 Sep 2010,5.3,46,81%,70000000,52474616,84957003,PG-13,Drama,137431619,196.33%
The Dilemma,USA,14 Jan 2011,6.4,33,47%,70000000,48475290,22071575,PG-13,Comedy,70546865,100.78%
Grown Ups,USA,25 Jun 2010,7.8,75,14%,75000000,162001186,110222244,PG-13,Comedy,272223430,362.96%
Oceans,"France, Switzerland, Spain, USA, United Arab Emirates, Monaco",22 Apr 2010,6.9,53,82%,80000000,19422319,67365211,G,Documentary,86787530,108.48%
Yogi Bear,"USA, New Zealand",17 Dec 2010,5.2,30,32/100,80000000,100246011,104528679,PG,Adventure,204774690,255.97%
The Book of Eli,USA,15 Jan 2010,6.5,45,64%,80000000,94835059,63915758,R,Action,158750817,198.44%
Zookeeper,USA,08 Jul 2011,7.5,69,0%,80000000,80360866,90444659,PG,Romantic Comedy,170805525,213.51%
The Expendables,"USA, Bulgaria, Spain, Germany",13 Aug 2010,2.8,32,16%,82000000,103068524,165199650,R,Action,268268174,327.16%
Conan the Barbarian,"USA, Mexico, Spain",14 May 1982,4.5,27,9%,90000000,21295021,42061112,R,Action,63356133,70.40%
The Nutcracker in 3D,"UK, Hungary",08 Dec 2011,6.8,69,53%,90000000,195459,20270557,PG,Musical,20466016,22.74%
Sex and the City 2,USA,27 May 2010,6.0,37,78%,95000000,95347692,199333086,R,Comedy,294680778,310.19%
Unstoppable,USA,12 Nov 2010,5.5,27,52%,95000000,81562942,84157979,PG-13,Action,165720921,174.44%
The Tourist,"USA, France, Italy, UK",10 Dec 2010,6.6,64,60%,100000000,67631157,211100212,PG-13,Thriller/Suspense,278731369,278.73%
